kode_provinsi,provinsi,kode_kabupaten_kota,kabupaten_kota,kode_kecamatan,kecamatan,kode_kelurahan_desa,kelurahan_desa,additional_info
32,JAWA BARAT,3276,KOTA DEPOK,327601,BEJI,3276011001,BEJI,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3518,KAB. MOJOKERTO,351801,BANGSAL,3518011001,BANGSAL,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3172,JAKARTA UTARA,317201,PENJARINGAN,3172011001,PENJARINGAN,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
63,KALIMANTAN SELATAN,6371,KOTA BANJARMASIN,637101,BANJARMASIN TENGAH,6371011001X20,DESA 20,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
33,JAWA TENGAH,3372,KOTA SURAKARTA,337201,LAWEYAN,3372011001X21,DESA 21,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
63,KALIMANTAN SELATAN,6371,KOTA BANJARMASIN,637101,BANJARMASIN TENGAH,6371011001X22,DESA 22,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X23,DESA 23,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
33,JAWA TENGAH,3372,KOTA SURAKARTA,337201,LAWEYAN,3372011001X24,DESA 24,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
35,JAWA TIMUR,3518,KAB. MOJOKERTO,351801,BANGSAL,3518011001X25,DESA 25,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3174,JAKARTA SELATAN,317401,TEBET,3174011001X26,DESA 26,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
32,JAWA BARAT,3273,KOTA BANDUNG,327301,LENGKONG,3273011001X27,DESA 27,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X28,DESA 28,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3173,JAKARTA BARAT,317301,CENGKARENG,3173011001X29,DESA 29,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
12,SUMATERA UTARA,1271,KOTA MEDAN,127101,MEDAN KOTA,1271011001X30,DESA 30,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X31,DESA 31,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
73,SULAWESI SELATAN,7371,KOTA MAKASSAR,737101,MARISO,7371011001X32,DESA 32,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X33,DESA 33,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
12,SUMATERA UTARA,1271,KOTA MEDAN,127101,MEDAN KOTA,1271011001X34,DESA 34,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X35,DESA 35,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3173,JAKARTA BARAT,317301,CENGKARENG,3173011001X36,DESA 36,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001X37,DESA 37,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
33,JAWA TENGAH,3374,KOTA SEMARANG,337401,GAJAHMUNGKUR,3374011001X38,DESA 38,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
12,SUMATERA UTARA,1271,KOTA MEDAN,127101,MEDAN KOTA,1271011001X39,DESA 39,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
31,DKI JAKARTA,3175,JAKARTA TIMUR,317501,MATRAMAN,3175011001X40,DESA 40,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
35,JAWA TIMUR,3518,KAB. MOJOKERTO,351801,BANGSAL,3518011001X41,DESA 41,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
33,JAWA TENGAH,3372,KOTA SURAKARTA,337201,LAWEYAN,3372011001X42,DESA 42,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3171,JAKARTA PUSAT,317102,SAWAH BESAR,3171021001X43,DESA 43,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
36,BANTEN,3674,KOTA TANGERANG SELATAN,367401,CIPUTAT,3674011001X44,DESA 44,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
35,JAWA TIMUR,3573,KOTA MALANG,357301,KLOJEN,3573011001X45,DESA 45,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3173,JAKARTA BARAT,317301,CENGKARENG,3173011001X46,DESA 46,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
73,SULAWESI SELATAN,7371,KOTA MAKASSAR,737101,MARISO,7371011001X47,DESA 47,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
33,JAWA TENGAH,3372,KOTA SURAKARTA,337201,LAWEYAN,3372011001X48,DESA 48,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3171,JAKARTA PUSAT,317102,SAWAH BESAR,3171021001X49,DESA 49,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
